,schedule_season,week,playoff,team_home,score_home,score_away,team_away,home_div,away_div,home_spread,game_home_margin,over_under_line,game_total,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail,home_W,home_L,home_T,away_W,away_L,away_T,home_streak,away_streak,h_made_playoffs,h_last_year_w,a_made_playoffs,a_last_year_w,same_div,same_conf,hPF,hPA,aPF,aPA
0,1988,1,1,0,13.0,10.0,18,1.0,0.0,2.5,3.0,44.0,23.0,0,0,68.0,11.0,85,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,21,21,21,21
1,1988,1,1,1,34.0,7.0,24,0.0,1.0,-3.5,27.0,46.0,41.0,1,0,66.0,16.0,68,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,21,21,21,21
2,1988,1,1,2,21.0,14.0,22,5.0,8.0,-5.5,7.0,47.0,35.0,2,0,68.0,10.0,79,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,21,21,21,21
3,1988,1,1,3,14.0,21.0,20,3.0,3.0,-4.0,-7.0,46.0,35.0,3,0,62.0,9.0,38,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,1,21,21,21,21
4,1988,1,1,4,31.0,17.0,14,0.0,8.0,-4.0,14.0,43.0,48.0,4,0,72.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,21,21,21,21
5,1988,1,1,5,7.0,34.0,17,0.0,8.0,3.0,-27.0,43.0,41.0,5,0,62.0,15.0,91,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,21,21,21,21
6,1988,1,1,6,14.0,17.0,16,1.0,5.0,-3.0,-3.0,41.0,31.0,6,0,72.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,21,21,21,21
7,1988,1,1,7,3.0,6.0,15,3.0,5.0,3.5,-3.0,42.0,9.0,7,0,65.0,13.0,64,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,21,21,21,21
8,1988,1,1,8,24.0,13.0,26,3.0,3.0,-6.0,11.0,41.0,37.0,8,0,82.0,8.0,45,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,1,21,21,21,21
9,1988,1,1,9,28.0,3.0,25,1.0,1.0,-6.0,25.0,45.0,31.0,9,0,63.0,14.0,96,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,1,21,21,21,21
10,1988,1,1,10,33.0,34.0,27,8.0,8.0,-0.0,-1.0,43.0,67.0,10,0,72.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,1,21,21,21,21
11,1988,1,1,11,24.0,21.0,23,5.0,6.0,-3.0,3.0,41.0,45.0,11,0,69.0,12.0,87,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,21,21,21,21
12,1988,1,1,12,14.0,41.0,19,0.0,6.0,6.5,-27.0,43.0,55.0,12,0,82.0,9.0,80,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,21,21,21,21
13,1988,1,1,13,27.0,20.0,21,6.0,6.0,-2.0,7.0,42.0,47.0,13,0,72.0,17.0,74,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,1,21,21,21,21
14,1988,2,1,14,21.0,29.0,10,8.0,8.0,8.5,-8.0,43.0,50.0,14,0,75.0,10.0,86,0,0,1,0,0,1,0,0.0,0.0,0,0,0,0,1,1,17,31,33,34
15,1988,2,1,0,9.0,6.0,24,1.0,1.0,-3.0,3.0,44.0,15.0,0,0,60.0,9.0,64,0,1,0,0,0,1,0,0.0,0.0,0,0,0,0,1,1,13,10,7,34
16,1988,2,1,15,3.0,23.0,25,5.0,1.0,-9.5,-20.0,40.0,26.0,15,0,65.0,5.0,69,0,1,0,0,0,1,0,0.0,0.0,0,0,0,0,0,1,6,3,3,28
17,1988,2,1,3,34.0,3.0,26,3.0,3.0,-12.0,31.0,43.0,37.0,3,0,69.0,13.0,43,0,0,1,0,0,1,0,0.0,0.0,0,0,0,0,1,1,14,21,13,24
18,1988,2,1,5,10.0,13.0,12,0.0,0.0,-6.5,-3.0,42.0,23.0,5,0,63.0,9.0,62,0,0,1,0,0,1,0,0.0,0.0,0,0,0,0,1,1,7,34,14,41
19,1988,2,1,16,38.0,35.0,8,5.0,3.0,-2.5,3.0,40.0,73.0,16,0,72.0,0.0,0,1,1,0,0,1,0,0,0.0,0.0,0,0,0,0,0,1,17,14,24,13
20,1988,2,1,6,13.0,17.0,1,1.0,0.0,1.5,-4.0,42.0,30.0,6,0,72.0,0.0,0,1,0,1,0,1,0,0,0.0,0.0,0,0,0,0,0,1,14,17,34,7
21,1988,2,1,17,17.0,10.0,4,8.0,0.0,-10.0,7.0,43.0,27.0,17,0,64.0,9.0,78,0,1,0,0,1,0,0,0.0,0.0,0,0,0,0,0,0,34,7,31,17
22,1988,2,1,18,36.0,6.0,9,0.0,1.0,-6.5,30.0,45.0,42.0,18,0,72.0,0.0,0,1,0,1,0,1,0,0,0.0,0.0,0,0,0,0,0,1,10,13,28,3
23,1988,2,1,13,17.0,20.0,27,6.0,8.0,-2.0,-3.0,44.0,37.0,13,0,69.0,15.0,51,0,1,0,0,1,0,0,0.0,0.0,0,0,0,0,0,1,27,20,34,33
24,1988,2,1,19,24.0,28.0,2,6.0,5.0,-5.0,-4.0,47.0,52.0,19,0,66.0,9.0,59,0,1,0,0,1,0,0,0.0,0.0,0,0,0,0,0,0,41,14,21,14
25,1988,2,1,20,31.0,10.0,7,3.0,3.0,-8.0,21.0,43.0,41.0,20,0,72.0,0.0,0,1,1,0,0,0,1,0,0.0,0.0,0,0,0,0,1,1,21,14,3,6
26,1988,2,1,21,30.0,29.0,11,6.0,5.0,-7.5,1.0,43.0,59.0,21,0,73.0,9.0,61,0,0,1,0,1,0,0,0.0,0.0,0,0,0,0,0,0,20,27,24,21
27,1988,2,1,22,14.0,17.0,23,8.0,6.0,-2.5,-3.0,45.0,31.0,22,0,89.0,10.0,25,0,0,1,0,0,1,0,0.0,0.0,0,0,0,0,0,1,14,21,21,24
28,1988,3,1,1,7.0,31.0,18,0.0,0.0,-3.0,-24.0,42.0,38.0,1,0,76.0,9.0,66,0,2,0,0,1,1,0,0.0,1.0,0,0,0,0,1,1,25,10,23,9
29,1988,3,1,23,10.0,12.0,13,6.0,6.0,3.0,-2.0,42.0,22.0,23,0,82.0,16.0,71,0,1,1,0,1,1,0,1.0,-1.0,0,0,0,0,1,1,19,19,22,20
30,1988,3,1,4,14.0,22.0,10,0.0,8.0,5.5,-8.0,44.0,36.0,4,0,72.0,0.0,0,1,1,1,0,1,1,0,-1.0,1.0,0,0,0,0,0,0,20,17,31,27
31,1988,3,1,7,20.0,13.0,3,3.0,3.0,5.0,7.0,43.0,33.0,7,0,76.0,17.0,86,0,0,2,0,1,1,0,0.0,1.0,0,0,0,0,1,1,6,18,24,12
32,1988,3,1,8,17.0,22.0,17,3.0,8.0,1.0,-5.0,41.0,39.0,8,0,65.0,8.0,74,0,1,1,0,2,0,0,-1.0,0.0,0,0,0,0,0,0,29,25,25,8
33,1988,3,1,24,24.0,17.0,5,1.0,0.0,-10.0,7.0,43.0,41.0,24,0,84.0,12.0,72,0,0,2,0,0,2,0,0.0,0.0,0,0,0,0,0,1,6,21,8,23
34,1988,3,1,9,14.0,16.0,0,1.0,1.0,-2.5,-2.0,38.0,30.0,9,0,67.0,14.0,75,0,1,1,0,2,0,0,-1.0,0.0,0,0,0,0,1,1,17,19,11,8
35,1988,3,1,25,45.0,3.0,16,1.0,5.0,2.0,42.0,41.0,48.0,13,0,67.0,12.0,78,0,1,1,0,2,0,0,1.0,0.0,0,0,0,0,0,1,13,15,27,24
36,1988,3,1,11,12.0,17.0,2,5.0,5.0,-2.5,-5.0,47.0,29.0,11,0,67.0,10.0,95,0,1,1,0,2,0,0,-1.0,0.0,0,0,0,0,1,1,26,25,24,19
